id,class_solexs,goes_class,peak_utc,test_period,status,bins,T_peak_MK,T_peak_err_MK,T_max_MK,T_max_before_peak_s,fe_ew_peak_keV,peak_rate_cps,goes_ratio_peak,T_peak_slope1_MK,T_peak_slope1.6_MK,within_flare_spearman_T_goes_ratio,T_cdte_peak_MK,T_cdte_peak_err_MK,T_solexs_same_minute_MK
AL1-20240214-2235,C6.2,C5.3,2024-02-14 22:39:00,0,ok,4,18.6,1.95,18.6,10.0,1.919,401.4,0.09337,17.49,20.3,,,,
AL1-20240215-0536,C5.2,C4.0,2024-02-15 05:40:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240215-0741,C5.7,C5.0,2024-02-15 08:11:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240215-1006,C5.5,C4.5,2024-02-15 10:22:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240215-1652,M1.9,M1.8,2024-02-15 17:06:00,0,no pre-flare background,,,,,,,,,,,,,,
AL1-20240215-1807,C8.5,C8.0,2024-02-15 18:12:00,0,ok,3,19.22,2.16,19.22,-10.0,0.901,669.1,0.07775,,,,,,
AL1-20240216-0238,M1.6,M1.5,2024-02-16 02:51:00,0,ok,26,17.1,0.78,20.78,70.0,2.25,1300.3,0.15051,16.09,18.51,0.952,,,
AL1-20240216-0642,X2.2,X2.5,2024-02-16 06:53:00,0,ok,22,22.92,0.2,25.17,50.0,1.415,18316.7,0.24216,20.26,24.03,0.964,,,
AL1-20240216-1823,C9.9,C8.9,2024-02-16 18:30:00,0,ok,56,15.89,1.18,19.74,150.0,1.837,979.0,0.11758,14.88,16.98,0.456,,,
AL1-20240216-2201,M3.2,M3.0,2024-02-16 22:09:00,0,ok,28,17.58,0.52,23.46,190.0,2.363,3021.1,0.17129,16.35,18.85,0.883,,,
AL1-20240217-0534,C5.6,C5.1,2024-02-17 05:56:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240217-0931,C5.6,,2024-02-17 10:32:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240217-1740,C8.1,C7.9,2024-02-17 18:33:00,0,ok,47,11.16,1.32,16.67,1210.0,1.251,817.8,0.06074,,,0.125,,,
AL1-20240218-0332,C5.4,C5.0,2024-02-18 04:04:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240219-0934,C7.8,C6.7,2024-02-19 09:40:00,0,ok,32,19.9,1.47,20.52,70.0,1.884,722.2,0.15824,15.87,18.23,0.918,,,
AL1-20240219-1242,C7.1,C5.7,2024-02-19 12:46:00,0,ok,15,23.42,2.21,23.42,10.0,1.527,561.6,0.16203,22.67,27.38,0.6,,,
AL1-20240221-0156,C5.1,C4.3,2024-02-21 02:14:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240221-2252,X1.7,X1.8,2024-02-21 23:06:00,0,ok,38,25.66,0.24,27.02,90.0,1.796,14785.6,0.31293,23.3,28.29,0.972,,,
AL1-20240221-2358,M1.5,M1.5,2024-02-22 00:13:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240222-0616,X1.6,X1.6,2024-02-22 06:32:00,0,ok,33,25.49,0.25,26.73,130.0,1.774,14098.2,0.31033,23.03,27.9,0.873,,,
AL1-20240222-1621,M1.1,C9.3,2024-02-22 16:29:00,0,ok,23,18.45,1.28,18.45,10.0,1.333,1047.8,0.12057,17.91,20.87,0.464,,,
AL1-20240222-1706,C5.7,C4.6,2024-02-22 17:16:00,0,ok,2,16.13,1.72,16.13,-10.0,1.352,534.5,0.09386,13.1,14.78,,,,
AL1-20240222-1746,C5.3,C4.7,2024-02-22 18:25:00,0,ok,3,15.89,1.76,18.0,1770.0,2.524,529.0,0.08237,,,,,,
AL1-20240222-1832,C6.4,,2024-02-22 18:43:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240222-2028,M5.1,M4.7,2024-02-22 20:46:00,0,ok,68,21.57,0.42,25.73,270.0,1.877,4781.4,0.25083,19.14,22.5,0.896,,,
AL1-20240222-2203,X4.5,X6.3,2024-02-22 22:32:00,0,ok,74,36.69,0.23,38.93,90.0,1.307,27765.2,0.48291,31.91,41.67,0.963,,,
AL1-20240223-0614,C9.3,C8.6,2024-02-23 06:33:00,0,ok,32,17.31,1.79,19.19,70.0,1.14,917.6,0.10309,14.77,16.83,0.925,,,
