id,class_solexs,goes_class,peak_utc,test_period,status,bins,T_peak_MK,T_peak_err_MK,T_max_MK,T_max_before_peak_s,fe_ew_peak_keV,peak_rate_cps,goes_ratio_peak,T_peak_slope1_MK,T_peak_slope1.6_MK,within_flare_spearman_T_goes_ratio,T_cdte_peak_MK,T_cdte_peak_err_MK,T_solexs_same_minute_MK
AL1-20241031-0504,C5.1,C5.6,2024-10-31 05:11:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241031-0536,C6.4,,2024-10-31 05:54:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241031-0823,C6.1,C6.2,2024-10-31 08:31:00,0,ok,8,17.24,1.97,18.62,110.0,1.155,642.9,0.07904,14.37,16.34,,,,
AL1-20241031-0856,C7.1,C7.5,2024-10-31 09:04:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241031-0921,C7.3,,2024-10-31 09:29:00,0,ok,7,17.39,1.79,20.4,70.0,1.626,747.8,0.08515,15.31,17.5,,,,
AL1-20241031-0930,M1.4,M1.3,2024-10-31 09:36:00,0,ok,32,19.22,1.32,20.22,50.0,1.462,1309.4,0.14326,16.9,19.53,0.685,,,
AL1-20241031-1019,C9.3,C6.3,2024-10-31 10:27:00,0,ok,15,22.65,1.85,22.65,10.0,1.486,841.0,0.12319,20.3,24.07,,,,
AL1-20241031-1242,M2.5,M2.4,2024-10-31 12:53:00,0,ok,38,17.9,0.58,24.87,290.0,2.098,2349.0,0.1827,17.18,19.92,0.818,,,
AL1-20241031-1348,M1.3,M1.2,2024-10-31 13:58:00,0,ok,47,19.75,1.17,20.8,310.0,2.002,1291.3,0.13034,16.91,19.56,0.729,,,
AL1-20241031-1857,C9.8,M1.0,2024-10-31 19:06:00,0,ok,29,14.83,1.19,18.19,130.0,1.57,974.3,0.10239,13.47,15.22,0.75,,,
AL1-20241031-2014,C5.9,C6.2,2024-10-31 20:25:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241031-2102,M4.3,M4.5,2024-10-31 21:09:00,0,ok,16,24.09,0.58,24.78,50.0,2.254,3049.7,0.262,22.25,26.8,,,,
AL1-20241031-2112,X1.8,X1.9,2024-10-31 21:19:00,0,ok,29,25.79,0.29,35.78,210.0,1.448,14638.0,0.31326,23.49,28.55,0.783,,,
AL1-20241101-0205,M1.3,M1.3,2024-11-01 02:16:00,0,ok,17,18.61,1.0,20.8,70.0,1.996,1239.8,0.12971,17.18,19.92,,,,
AL1-20241101-0947,M1.0,M1.0,2024-11-01 10:16:00,0,ok,102,13.04,1.31,18.16,310.0,2.271,1073.3,0.0815,13.6,15.37,0.416,,,
AL1-20241101-1219,C7.5,C8.4,2024-11-01 12:27:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241101-1242,M1.2,M1.3,2024-11-01 12:52:00,0,ok,26,18.51,1.4,20.74,170.0,1.394,1267.5,0.09584,15.01,17.12,0.583,,,
AL1-20241101-1421,M1.9,M2.0,2024-11-01 14:31:00,0,ok,46,17.35,0.74,22.39,310.0,1.522,1802.6,0.15027,16.13,18.56,0.739,,,
AL1-20241101-1627,C5.6,C6.3,2024-11-01 16:32:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241101-1718,C5.3,C6.1,2024-11-01 17:34:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241101-1742,C5.9,,2024-11-01 18:03:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241102-0727,M1.0,M1.0,2024-11-02 07:37:00,0,ok,40,17.15,1.09,25.5,290.0,2.59,990.5,0.13065,15.73,18.05,0.873,,,
AL1-20241102-0807,M1.1,M1.2,2024-11-02 08:30:00,0,ok,60,13.15,1.02,19.63,490.0,1.799,1164.5,0.09258,12.8,14.4,0.716,,,
AL1-20241103-0303,M1.0,M1.1,2024-11-03 03:11:00,0,ok,17,18.76,1.04,25.42,90.0,2.441,1004.7,0.13708,16.07,18.48,,,,
AL1-20241103-0338,C6.8,C7.2,2024-11-03 03:46:00,0,ok,25,17.7,1.73,18.44,50.0,2.064,695.7,0.09401,16.36,18.85,0.667,,,
AL1-20241103-0625,C7.2,C8.1,2024-11-03 06:36:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241103-0838,M1.1,M1.1,2024-11-03 08:49:00,0,ok,49,15.7,1.21,25.02,250.0,1.851,1084.1,0.10048,15.1,17.25,0.854,,,
AL1-20241103-1252,C5.7,,2024-11-03 12:59:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241103-1326,C7.8,C7.5,2024-11-03 13:30:00,0,ok,6,16.59,1.54,18.04,30.0,1.444,728.7,0.09513,16.23,18.69,,,,
AL1-20241103-1453,M1.2,M1.4,2024-11-03 15:24:00,0,ok,24,14.78,1.43,15.05,230.0,1.343,1271.0,0.06966,10.27,11.36,-0.048,,,
AL1-20241103-1748,M1.2,M1.3,2024-11-03 17:53:00,0,ok,16,18.59,1.18,19.61,110.0,2.202,1210.5,0.12452,15.58,17.85,,,,
AL1-20241103-2019,C6.1,C6.8,2024-11-03 20:29:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241103-2035,C8.5,C8.9,2024-11-03 20:42:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241103-2315,C6.1,,2024-11-03 23:25:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241104-0051,M1.4,M1.5,2024-11-04 00:57:00,0,ok,21,18.78,1.0,19.46,70.0,1.401,1373.2,0.1188,17.57,20.42,0.786,,,
AL1-20241104-0102,M3.4,,2024-11-04 01:40:00,0,ok,123,13.2,0.62,18.5,1350.0,0.765,3526.8,0.09929,12.19,13.68,0.678,,,
AL1-20241104-0338,M1.0,M1.1,2024-11-04 03:45:00,0,ok,14,15.98,1.32,20.97,130.0,1.697,1045.9,0.08519,14.48,16.46,,,,
AL1-20241104-0406,C9.6,M1.0,2024-11-04 04:14:00,0,ok,13,16.18,1.32,17.56,30.0,1.914,911.7,0.1005,16.16,18.6,,,,
AL1-20241104-0443,C6.0,C7.0,2024-11-04 04:50:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241104-0631,C7.2,C7.7,2024-11-04 06:38:00,0,ok,6,15.16,1.52,21.22,30.0,2.131,700.6,0.08547,15.56,17.83,,,,
AL1-20241104-0702,M1.3,M1.3,2024-11-04 07:08:00,0,ok,38,18.16,0.93,19.54,50.0,2.152,1229.0,0.16397,18.49,21.64,0.65,,,
AL1-20241104-0829,M1.1,M1.2,2024-11-04 08:40:00,0,ok,31,15.35,1.09,20.42,250.0,1.746,1120.5,0.11071,14.22,16.15,0.282,,,
AL1-20241104-0922,C6.0,C6.3,2024-11-04 09:28:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241104-1006,M1.6,M1.6,2024-11-04 10:16:00,0,ok,38,17.57,0.89,19.07,150.0,0.976,1479.7,0.13319,14.87,16.96,0.441,,,
AL1-20241104-1051,C6.9,,2024-11-04 11:00:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241104-1103,C9.0,C9.5,2024-11-04 11:09:00,0,ok,2,17.6,2.04,17.6,10.0,1.947,941.9,0.07865,13.25,14.92,,,,
AL1-20241104-1146,C6.0,C6.6,2024-11-04 11:55:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241104-1235,C5.3,,2024-11-04 12:44:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241104-1404,C5.8,,2024-11-04 14:13:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241104-1415,M1.1,M1.1,2024-11-04 14:28:00,0,ok,7,13.7,1.82,16.35,-30.0,1.418,1129.6,0.0842,,,,,,
AL1-20241104-1500,M1.3,M1.3,2024-11-04 15:08:00,0,ok,12,18.49,1.13,21.52,110.0,1.723,1263.3,0.1048,16.97,19.63,,,,
AL1-20241104-1526,M5.8,M3.6,2024-11-04 15:38:00,0,ok,42,20.92,0.39,22.67,350.0,1.339,5053.8,0.23114,18.92,22.21,0.622,,,
AL1-20241105-0115,C7.3,C7.7,2024-11-05 01:20:00,0,ok,6,13.93,1.59,19.76,90.0,2.32,769.2,0.07373,12.93,14.55,,,,
AL1-20241105-0413,C8.0,C8.6,2024-11-05 04:17:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241105-0436,C6.9,C7.3,2024-11-05 04:43:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241105-0633,M2.5,M2.6,2024-11-05 06:54:00,0,ok,70,18.51,0.64,25.5,650.0,1.935,2384.8,0.16979,16.13,18.56,0.731,,,
AL1-20241105-0819,C7.7,C8.0,2024-11-05 08:29:00,0,ok,4,16.46,1.84,17.08,-10.0,1.729,834.0,0.0698,16.45,18.96,,,,
AL1-20241105-0911,C9.1,C9.9,2024-11-05 09:22:00,0,ok,24,14.12,1.4,17.28,-170.0,1.754,949.4,0.07471,14.62,16.65,-0.238,,,
AL1-20241105-1123,C6.8,C7.1,2024-11-05 11:27:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241105-1202,C6.5,C6.6,2024-11-05 12:07:00,0,ok,2,14.68,1.66,15.61,-10.0,1.681,764.6,0.05475,13.27,14.98,,,,
AL1-20241105-1328,M1.2,M1.2,2024-11-05 13:38:00,0,ok,44,13.78,0.91,20.35,290.0,1.481,1184.3,0.11087,13.18,14.88,0.796,,,
AL1-20241105-1358,M2.7,M2.8,2024-11-05 14:19:00,0,ok,52,13.2,0.55,18.31,670.0,1.63,2717.2,0.10984,13.32,15.03,0.473,,,
AL1-20241105-1505,M4.0,M4.1,2024-11-05 15:25:00,0,ok,88,14.92,0.44,23.61,750.0,1.678,3973.2,0.1417,14.4,16.39,0.856,,,
AL1-20241105-1921,C6.8,,2024-11-05 19:48:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241105-2229,C9.1,C9.5,2024-11-05 22:41:00,0,ok,24,17.35,1.44,19.3,150.0,1.931,925.0,0.09744,15.44,17.68,0.524,,,
AL1-20241107-0117,M2.6,M2.5,2024-11-07 01:26:00,0,ok,50,22.01,0.67,24.28,90.0,2.044,2347.9,0.22839,19.69,23.25,0.815,,,
AL1-20241107-0203,C7.1,C7.4,2024-11-07 02:09:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241107-0353,M2.3,M2.4,2024-11-07 04:20:00,0,ok,77,15.93,0.61,20.2,710.0,2.048,2289.4,0.15073,14.93,17.04,0.682,,,
AL1-20241107-0720,M1.3,M1.3,2024-11-07 07:26:00,0,ok,35,19.74,1.06,21.68,110.0,1.568,1284.2,0.14847,17.34,20.11,0.873,,,
AL1-20241107-0735,M1.6,M1.6,2024-11-07 07:42:00,0,ok,23,16.86,1.15,24.39,170.0,1.788,1569.5,0.14715,15.38,17.57,0.75,,,
AL1-20241107-0746,M2.7,M2.7,2024-11-07 07:54:00,0,ok,33,16.68,0.89,26.95,330.0,1.271,2610.6,0.16247,15.16,17.34,0.855,,,
AL1-20241107-1113,C5.2,C5.6,2024-11-07 11:17:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241107-1153,M1.4,M1.3,2024-11-07 12:01:00,0,ok,35,17.16,0.85,23.8,210.0,2.229,1343.3,0.15943,15.98,18.37,0.955,,,
AL1-20241107-1447,M2.2,M2.3,2024-11-07 15:06:00,0,ok,54,14.86,0.61,19.14,250.0,1.813,2208.0,0.12608,14.27,16.22,0.689,,,
AL1-20241107-1829,C5.5,,2024-11-07 18:44:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241107-2127,C6.5,,2024-11-07 21:34:00,0,ok,4,18.8,1.84,18.8,10.0,2.118,628.5,nan,18.64,21.83,,,,
AL1-20241108-0016,C5.0,C5.3,2024-11-08 00:30:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241108-0055,C5.5,,2024-11-08 01:05:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241108-0215,C5.9,C6.1,2024-11-08 02:34:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241108-0253,M1.4,M1.4,2024-11-08 03:00:00,0,ok,35,20.73,1.14,20.73,10.0,1.826,1288.2,0.14834,17.74,20.64,0.818,,,
AL1-20241108-0326,C5.2,C5.7,2024-11-08 03:34:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241108-1026,C5.5,C5.7,2024-11-08 10:41:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241108-1120,C5.2,C5.8,2024-11-08 11:24:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241108-1848,C5.2,,2024-11-08 19:25:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241108-2337,C7.1,C7.4,2024-11-09 00:08:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241109-0227,C5.6,C6.0,2024-11-09 02:43:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241109-0849,C5.5,C5.3,2024-11-09 08:58:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241109-0934,C5.1,C5.4,2024-11-09 09:41:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241109-1025,C7.0,C6.6,2024-11-09 10:35:00,0,ok,11,15.68,1.66,19.9,110.0,1.152,713.9,0.0811,13.5,15.27,,,,
AL1-20241109-1215,C7.7,C7.3,2024-11-09 12:19:00,0,ok,12,17.24,1.54,19.98,-130.0,2.747,720.5,0.10858,15.06,17.2,,,,
AL1-20241109-1926,C5.5,C5.3,2024-11-09 19:36:00,0,ok,1,15.9,1.83,15.9,10.0,1.72,587.4,0.06027,15.34,17.55,,,,
AL1-20241109-2044,M1.2,M1.2,2024-11-09 20:50:00,0,ok,12,18.23,0.9,24.82,110.0,2.639,1219.0,0.13505,17.29,20.06,,,,
AL1-20241110-0007,M4.1,M4.2,2024-11-10 00:15:00,0,ok,34,16.89,0.47,19.48,230.0,1.86,3944.6,0.1558,15.61,17.9,0.836,,,
AL1-20241110-1155,M9.0,M9.3,2024-11-10 12:06:00,0,ok,36,20.59,0.3,22.95,170.0,1.799,8415.6,0.24103,19.84,23.45,0.524,,,
AL1-20241110-1419,C5.5,C5.6,2024-11-10 14:38:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241110-1551,C6.3,C6.6,2024-11-10 15:58:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241110-2012,M4.8,M4.8,2024-11-10 20:21:00,0,ok,53,22.02,0.44,24.36,190.0,2.215,4500.7,0.25378,19.83,23.43,0.838,,,
AL1-20241110-2231,C8.3,C8.4,2024-11-10 22:53:00,0,ok,61,13.6,1.37,15.1,330.0,1.302,874.1,0.08141,12.25,13.74,0.439,,,
AL1-20241111-0358,C8.0,C7.9,2024-11-11 04:07:00,0,ok,18,13.97,1.17,19.81,170.0,2.141,789.6,0.10586,14.31,16.26,0.829,,,
AL1-20241111-0510,M1.1,M1.1,2024-11-11 05:24:00,0,ok,58,11.71,0.95,19.9,490.0,1.732,1101.8,0.10023,12.6,14.16,0.811,,,
AL1-20241111-0535,M1.3,M1.3,2024-11-11 05:43:00,0,ok,18,15.75,1.71,20.58,70.0,1.938,1289.3,0.09899,16.68,19.16,-0.143,,,
AL1-20241112-1248,C7.8,,2024-11-12 13:47:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241113-0012,C9.9,M1.0,2024-11-13 00:22:00,0,ok,24,14.34,1.06,22.42,150.0,2.313,958.4,0.11556,13.68,15.49,0.833,,,
AL1-20241113-1257,C6.2,C5.6,2024-11-13 13:12:00,0,ok,5,11.76,1.39,14.04,50.0,1.991,609.6,0.09482,12.84,14.45,,,,
AL1-20241113-1656,M1.7,M1.7,2024-11-13 17:08:00,0,ok,33,19.43,0.83,21.26,170.0,2.116,1627.4,0.17075,17.45,20.26,0.827,,,
AL1-20241115-1208,M1.0,M1.0,2024-11-15 12:17:00,0,ok,29,16.21,1.14,19.23,210.0,1.656,978.2,0.12112,14.53,16.53,0.933,,,
AL1-20241116-0127,M1.4,M1.6,2024-11-16 01:37:00,0,ok,7,16.91,0.86,19.75,70.0,2.281,1407.0,0.09339,15.19,17.37,,,,
AL1-20241118-0201,C5.2,C4.5,2024-11-18 02:07:00,0,ok,3,17.63,1.93,20.35,-50.0,2.184,439.1,0.1308,,,,,,
AL1-20241118-0512,M1.1,M1.0,2024-11-18 05:22:00,0,ok,22,20.77,1.16,21.37,190.0,1.734,1067.0,0.17008,17.62,20.49,0.214,,,
AL1-20241118-0725,M1.8,M1.7,2024-11-18 07:32:00,0,ok,17,22.8,0.89,22.8,10.0,2.02,1458.0,0.20339,20.89,24.89,,,,
AL1-20241118-1041,M2.6,M2.5,2024-11-18 10:58:00,0,ok,14,20.57,0.65,21.47,30.0,1.958,2131.7,0.1963,18.85,22.11,,,,
AL1-20241118-1106,M1.6,M1.6,2024-11-18 11:12:00,0,ok,59,16.27,1.33,23.24,-490.0,1.832,1556.0,0.12404,16.34,18.77,0.519,,,
AL1-20241118-1247,M3.5,M3.6,2024-11-18 12:53:00,0,ok,17,18.77,0.49,22.35,50.0,1.82,3401.3,0.16933,17.17,19.9,,,,
AL1-20241118-1701,C6.0,C5.5,2024-11-18 17:06:00,0,ok,5,17.47,1.72,17.68,50.0,2.19,537.4,0.11278,16.75,19.37,,,,
AL1-20241118-1743,M1.9,M1.8,2024-11-18 17:49:00,0,ok,20,17.6,0.68,20.71,90.0,1.692,1802.2,0.17273,15.2,17.38,1.0,,,
AL1-20241118-1759,C6.3,C6.5,2024-11-18 18:04:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241118-1847,M1.8,M2.0,2024-11-18 19:14:00,0,ok,120,14.48,0.73,19.28,1170.0,1.429,1826.4,0.12226,12.08,13.53,0.848,,,
AL1-20241118-2041,C6.5,C6.8,2024-11-18 20:45:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241118-2047,M1.1,,2024-11-18 20:51:00,0,ok,7,16.25,1.21,23.36,70.0,1.931,1054.2,0.09939,15.13,17.27,,,,
AL1-20241118-2355,M1.1,M1.1,2024-11-19 00:00:00,0,ok,6,16.68,1.0,19.36,90.0,1.721,1060.1,0.14221,,,,,,
AL1-20241119-1724,C8.6,C8.9,2024-11-19 17:28:00,0,ok,5,20.52,2.16,20.52,10.0,1.452,838.9,0.09506,18.41,21.47,,,,
AL1-20241119-1830,C7.9,C7.8,2024-11-19 18:34:00,0,ok,5,17.36,1.23,18.44,30.0,1.477,749.6,0.10889,15.52,17.78,,,,
AL1-20241119-2113,C7.3,C7.0,2024-11-19 21:27:00,0,ok,28,14.98,1.35,21.35,210.0,2.473,660.3,0.12214,14.11,16.02,0.883,,,
AL1-20241120-1911,M1.1,M1.1,2024-11-20 19:48:00,0,ok,127,13.52,1.03,17.35,-610.0,1.283,1144.3,0.09692,11.04,12.28,0.14,,,
AL1-20241121-1752,C5.8,C5.9,2024-11-21 18:07:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241122-0321,C8.3,C8.9,2024-11-22 03:44:00,0,ok,47,13.85,1.29,18.92,430.0,1.787,764.8,0.09833,12.01,13.45,0.515,,,
AL1-20241122-1541,M1.6,,2024-11-22 15:46:00,0,ok,17,20.77,0.94,21.82,50.0,1.418,1317.0,nan,18.66,21.86,,,,
AL1-20241122-1814,C5.1,,2024-11-22 18:26:00,0,ok,2,17.38,1.95,17.38,-10.0,1.124,488.6,nan,,,,,,
AL1-20241122-2143,M1.0,M1.0,2024-11-22 22:11:00,0,ok,50,11.4,1.32,16.73,410.0,0.709,1045.2,0.08574,8.85,9.7,0.181,,,
AL1-20241123-0309,C6.7,C7.0,2024-11-23 03:20:00,0,ok,8,13.59,1.56,14.21,-30.0,1.16,653.0,0.08109,13.22,14.92,,,,
AL1-20241123-1557,M1.0,M1.1,2024-11-23 16:06:00,0,ok,23,12.16,1.1,20.33,170.0,2.531,998.0,0.08965,12.16,13.62,0.738,,,
AL1-20241123-1743,M1.0,M1.1,2024-11-23 18:10:00,0,ok,60,13.43,1.07,18.58,550.0,1.655,1024.5,0.09611,12.11,13.57,0.827,,,
AL1-20241123-2250,C5.5,C5.5,2024-11-23 22:58:00,0,ok,4,15.03,1.56,18.15,30.0,2.228,529.6,0.09255,14.84,16.92,,,,
AL1-20241123-2304,C5.1,C5.3,2024-11-23 23:10:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241124-0041,C5.3,C5.4,2024-11-24 00:52:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241124-0103,C7.4,C7.6,2024-11-24 01:08:00,0,ok,6,15.24,1.51,20.25,-70.0,2.247,730.8,0.10154,14.61,16.62,,,,
AL1-20241124-0330,C5.2,C5.6,2024-11-24 03:36:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241124-0626,C5.2,C5.6,2024-11-24 06:33:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241124-0738,C5.2,C5.5,2024-11-24 07:53:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241124-1304,C5.1,C5.6,2024-11-24 13:12:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241124-1622,C6.1,C6.6,2024-11-24 16:30:00,0,ok,5,17.19,2.03,23.33,90.0,1.826,601.1,0.08517,,,,,,
AL1-20241124-2012,M1.1,M1.0,2024-11-24 20:22:00,0,ok,30,15.63,0.97,22.02,190.0,1.578,984.1,0.13759,15.63,17.92,0.881,,,
AL1-20241125-0016,C8.7,C8.3,2024-11-25 00:29:00,0,ok,29,17.73,1.31,25.19,230.0,2.07,811.7,0.13726,14.23,16.17,0.842,,,
AL1-20241125-0138,M1.0,M1.1,2024-11-25 01:58:00,0,ok,43,12.05,0.97,22.31,430.0,2.179,991.6,0.09423,11.28,12.57,0.818,,,
AL1-20241125-0322,C7.4,C7.6,2024-11-25 03:34:00,0,ok,23,15.36,1.42,21.66,230.0,1.585,690.8,0.10146,14.43,16.41,0.667,,,
AL1-20241125-0439,M1.7,M1.7,2024-11-25 04:53:00,0,ok,35,16.99,0.75,20.43,110.0,2.136,1557.0,0.15563,15.96,18.35,0.818,,,
AL1-20241125-1545,C5.6,C5.7,2024-11-25 15:59:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241125-1615,C9.6,M1.0,2024-11-25 16:35:00,0,ok,50,12.05,1.37,18.99,370.0,1.294,984.8,0.088,12.11,13.55,0.512,,,
AL1-20241125-1658,M1.4,M1.5,2024-11-25 17:07:00,0,ok,33,15.87,1.28,19.17,50.0,1.919,1446.3,0.09914,16.19,18.58,0.473,,,
AL1-20241125-2023,M1.7,M1.9,2024-11-25 20:54:00,0,ok,106,12.89,0.81,17.34,830.0,1.434,1781.4,0.08619,12.49,14.03,0.442,,,
AL1-20241126-0000,C7.1,C7.3,2024-11-26 00:08:00,0,no pre-flare background,,,,,,,,,,,,,,
AL1-20241126-0011,C8.9,C9.4,2024-11-26 00:22:00,0,ok,6,13.46,1.81,20.95,130.0,1.835,893.0,0.10306,14.55,16.45,,,,
AL1-20241127-1001,C9.3,C9.4,2024-11-27 10:19:00,0,ok,27,16.17,1.35,17.7,150.0,1.756,928.5,0.10159,13.85,15.69,0.633,,,
AL1-20241127-1127,C7.7,C7.8,2024-11-27 11:44:00,0,ok,29,14.55,1.54,20.6,270.0,2.441,768.7,0.09986,13.41,15.14,0.367,,,
AL1-20241127-1756,C5.9,C6.0,2024-11-27 18:11:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241128-0422,C5.5,,2024-11-28 04:53:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241129-2022,C5.5,C5.4,2024-11-29 20:29:00,0,ok,4,15.68,1.81,17.49,-30.0,2.645,549.2,0.10017,16.17,18.59,,,,
AL1-20241203-0535,C6.7,C6.0,2024-12-03 05:44:00,0,ok,8,19.02,1.86,23.6,30.0,2.609,608.4,0.11526,16.18,18.62,,,,
AL1-20241203-2233,C5.7,C5.4,2024-12-03 22:47:00,0,ok,10,16.88,1.89,19.84,110.0,1.676,522.6,0.10418,14.93,17.05,,,,
AL1-20241204-0320,C5.8,C5.6,2024-12-04 03:29:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241204-2030,M1.3,M1.3,2024-12-04 20:46:00,0,ok,51,13.78,0.88,21.96,350.0,1.522,1337.2,0.10551,13.2,14.89,0.863,,,
AL1-20241204-2057,M1.4,M1.4,2024-12-04 21:05:00,0,ok,24,15.56,1.44,19.86,190.0,1.82,1396.0,0.1036,12.36,13.83,0.048,,,
AL1-20241205-0007,C5.3,C5.3,2024-12-05 00:14:00,0,ok,4,17.12,1.93,23.01,30.0,2.365,486.8,0.10513,15.28,17.48,,,,
AL1-20241205-2107,C6.4,,2024-12-05 21:14:00,0,ok,6,14.83,1.6,17.3,30.0,2.533,590.5,nan,13.72,15.55,,,,
AL1-20241206-2242,C6.9,C6.7,2024-12-06 22:56:00,0,ok,7,15.05,1.5,18.12,-10.0,2.318,619.2,0.10439,14.46,16.45,,,,
AL1-20241207-2153,M3.3,M3.2,2024-12-07 22:14:00,0,ok,60,18.79,0.51,20.04,130.0,1.488,2961.6,0.19666,17.04,19.73,0.835,,,
AL1-20241208-0106,C5.8,C5.5,2024-12-08 01:17:00,0,ok,17,10.53,1.12,21.68,230.0,2.659,527.4,0.11221,11.04,12.29,0.829,,,
AL1-20241210-0312,C9.9,C9.6,2024-12-10 03:27:00,0,ok,34,15.66,1.08,21.59,110.0,2.411,954.8,0.13369,13.99,15.86,0.783,,,
AL1-20241210-1613,C5.4,C5.0,2024-12-10 16:20:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241210-1754,M1.6,M1.6,2024-12-10 17:58:00,0,ok,17,15.08,0.77,20.85,70.0,2.658,1398.2,0.14465,14.22,16.15,,,,
AL1-20241210-2047,C5.9,C5.8,2024-12-10 20:53:00,0,ok,8,14.69,1.61,19.12,90.0,2.436,512.8,0.09637,15.6,17.89,,,,
AL1-20241210-2210,C9.1,C8.3,2024-12-10 22:21:00,0,ok,30,12.93,1.01,22.88,270.0,2.311,881.4,0.12316,14.49,16.49,0.77,,,
AL1-20241211-0320,C6.7,C6.8,2024-12-11 03:26:00,0,ok,4,15.86,1.5,20.32,-10.0,2.012,528.1,0.10945,15.46,17.71,,,,
AL1-20241211-0555,M1.9,M1.9,2024-12-11 06:04:00,0,ok,18,17.12,0.76,20.94,110.0,2.023,1779.7,0.13077,14.16,16.08,0.829,,,
AL1-20241213-0332,C9.2,C9.1,2024-12-13 03:41:00,0,ok,14,14.87,1.32,16.23,-70.0,1.466,851.4,0.11716,16.15,18.59,,,,
AL1-20241213-1107,M2.3,M2.0,2024-12-13 11:24:00,0,ok,24,20.43,0.63,28.89,150.0,2.454,2022.6,0.2414,18.27,21.35,0.976,,,
AL1-20241213-1416,M1.1,M1.0,2024-12-13 14:24:00,0,ok,18,18.92,1.28,18.92,10.0,2.381,894.1,0.14413,17.84,20.79,0.886,,,
AL1-20241213-1631,C6.0,C5.1,2024-12-13 16:38:00,0,ok,7,14.9,1.43,18.68,30.0,2.404,496.8,0.1356,16.61,19.18,,,,
AL1-20241213-1713,M1.1,C9.8,2024-12-13 17:20:00,0,ok,23,20.11,1.21,24.53,90.0,2.032,899.2,0.18728,18.52,21.65,0.667,,,
AL1-20241213-2041,C5.0,C4.7,2024-12-13 20:50:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241214-1713,C6.1,C5.9,2024-12-14 17:29:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20241215-0928,C7.6,C7.2,2024-12-15 09:39:00,0,ok,23,17.72,1.59,19.85,110.0,1.51,707.4,0.11233,15.38,17.61,0.783,,,
AL1-20241215-1103,C9.0,,2024-12-15 11:07:00,0,ok,9,18.32,1.38,23.27,70.0,2.296,803.8,0.14552,16.57,19.11,,,,
